text,hate_label,topic_label
The trans women reading this tweet right now is beautiful,0,gender
9) uhhhh i like being lgbt a lot. i feel proud of what i have done to help others in my community,0,sexual orientation
"@terryelaineh1 @UKLabour Why do 3.8 million #50sWomen not constitute ""The Many"" not the few? Why is Labour not supporting women who've contributed all their working lives, paid for past pensions and NOW still paying, just for being women over 60! #BackTo60 #OneVoice #JudicialReview #CEDAW",0,gender
"I said it yesterday, I knew this is about to go down. Mangalore: Police now booked those Hindus who caught Ansari in the act of rap!ng that poor calf under sections 506, 504 (intentional insult with intent to provoke breach of peace), 323 & 153A. Judiciary is the most corrupt. URL",0,religion
White Small Little Invisible Clits Are A Disgrace 🤢 Pay Me For You Having Such a Small Disgraceful Useless Object  Kik GoddesssJayy  #Findom #Sph #Whiteslave #Humiliation #Pindick #Cashslave #Cuck #Cuckold #EbonyDomme,1,race
Ladies buy a gun learn how to use it effectively and kill these mother fuckers. URL,0,gender
"@ghostofthor same energy as the ""YOU DONT LOOK INDIAN STOP LYING ABOUT BEING SOUTH ASIAN"" cc",0,race
"@suddenlywestan Because you are a country of mentally ill terrorists. Whoever says different is an enabler, ignorant and blind to endless/countless wars and aggression and the death rate by American terrorist acts. Fuck you American scum!",1,others
Progress 👍 LGBT rights in Europe: Some countries 'moving backwards on equality for first time in a decade' | Euronews URL #NewsSuite URL,0,sexual orientation
He is a racist just like his Father who tried to keep blacks out of his housing Apts back in the day. URL,0,race
"Y'all always slip up and say how y'all see women period because this includes the majority of women in yall lives that's not related to you. Especially since men demand pussy just from taking you out, selling you weed or even being nice to you. Niggas can't even be friends lol URL",0,gender
"okay but am i the only one who keep thinking that the tarzan song, ""you'll be in my heart"" by phil collins is such a gay rights themed song. URL",0,sexual orientation
@KeGutta These niggas straight bitches,1,gender
"Cold hoe that's a must, bitch body A plus, bitch pussy A1",0,gender
Da real white thug,0,race
stupid ugly ass cracker is somehow going to avoid getting the death penalty,0,others
Niggas shone fr i bought ah nigga ah sub from da corner sto... too easy,0,race
"#जीवन_आशा_मुहिम Even today a young widow has to face social stigma. Wearing white clothes, facing boycott, etc. are common problems. To fight this social evil, initiative to promote widow marriages has been launched by Saint Dr. Gurmeet Ram Rahim Singh Ji Insan @Gurmeetramrahim",0,religion
"Gays, it's June. Be gay, do crimes, shoot your shot, seize the means, be flamboyant and joyous and freaky, punch a nazi in the face, tell your friends you love them, run a bath, don't be sorry, our desire is our power.",0,sexual orientation
I say abolish muslims and illegals out of this country,0,others
@odysseuslahori @IqShoaib Hang till death all religious pimps !!,1,religion
"@4248 This is the influence of ""godly people"" that you're bragging about? It would seem to me that racists, demagogues, homophobes, transphobes, serial killers, bigots and misogynistic pieces of shit hide behind ""muh religion"" to preach their hatred or anyone not a straight white male? URL",0,religion
Fuck Yeah ! Filthy Fuck'n Dirty Cock Cleanin' Sweat Fuck'n Drippin' Total Fuck'n Bottom Slut Christian Gettin' Gang Fuck'n Bred Hard and Fuck'n Rough for Balls Deep Fuck'n Loads of Filthy Fuck'n Dirty Cum Floodin' His Greedy Slutted Out Fuck'n Cunt (T.I.M)(Final Part) 👍 URL,0,gender
Niggers are ruining this country,1,race
"Dear Lord, looking around this Sunday afternoon and it seems like the world is letting these vile terrorists murderers of our fellow Americans win. Their actions have just incited more hate. We pray to not let them win. Do not let the devil win. Please Lord help us LOVE one URL",0,others
Counterpoint: almost no one is actually afraid of being labelled as transphobic. Transphobia is an incredibly common prejudice which carries little to no consequences - which is how this article and headline got published in first place  URL,0,gender
"@thedailybeast All the brits still have Ass hurt from the spanking we gave them a couple hundred years ago. In fact, if their food and weather weren't absolute shit we would have already colonized them. America is the ONLY reason you twats never lived under a hammer and sickle flag.",0,race
"Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now fucking take it, cry all you want that ain't gonna stop this bull from raping your boipussy apart he'll only stop when he is done & shoots his huge load deep inside. URL",1,gender
"You'd be surprised how quickly ""stop right there criminal scum!"" Turns into ""fuck me right here! Criminal cum!"" When the culprit is cute, crazy, and has a cock as long and thick as a forearm- URL",0,others
Majority of girls talking to me after they find out I play for the same team URL,0,gender
Deep down in my inner demonic soul. I feel like nuking Arab world for what they're doing Black people. I finally gave up feeling sympathy for these creatures. I hope Israel and western world continue bombing them creature and dismember them apart.,1,race
"""where they ultimately need to be"" is back in the fucking Congo you morons URL",1,race
deadly class really got canceled. homophobia,0,sexual orientation
Bitches be salty as hell when a nigga treat they Ma dukes like a queen but not them 🤣,0,others
"Hey Twitter!!! Islam is a tool of Satan!!! Muslims worship a child molester!!! There is only one God and he is YOUR maker and he still sits on his throne, watching all of you disgusting fools!!!! I pity all of you when you stand before him!!",1,religion
They should use this on white male domestic terrorist cells.,0,race
@nailainayat I thought in islam there are no siblings only couples! Because brother marries his own sister is what cruel reality of islam! Even in many cases in India muslim father marries his own daughter on the pretext that it is islamic! And changes entire relationship!,1,religion
"""There are some people who are raised on the school of a particular Imam, sought a ruling from a particular jurist, or heard a particular anecdote from some scholars, then wants to make all Muslims follow that."" ~ Ibn Taymiya URL",0,religion
#NerkondaPaarvai is as much a #Thala #Ajith Movie as it is about us - Actress @ShraddhaSrinath : The Hindu  #NerKondaPaarvaiManiaIn9Days URL,0,gender
"@Cochis3 Not all the public, including Jews, are stupid enough to believe the absolute effluent spewed out by the Blairites Tories and media.",0,politics
@CoryBooker Hey moron if they are a tool for white supremacy what is all the colored people killing each other with in Chicago and Baltimore,0,race
I notice y'all don't do yt celebs like this. Y'all go extra hard on our black women.. i've notcied it lately with Normani too. Stop nitpicking shit.,0,race
Okay but can you girls stop being childish and go for real men :/,0,gender
Autism is coming out once again,0,others
I get reminded everyday why I don't like u bitches 😒,0,gender
"Fuck. 9.5"" thick cock absolutely pounding me with 5 loads already in me. Fucking brutalised. Watch him breed my hole and smash me up See this and more at: URL URL",0,others
"""I'm trying to take you out"" to ""you don't look good enough to rape"". i have a headache, where do y'all even come from because wtf URL",1,others
"Call me a ""bitch"" one more time and I swear to you I will suck the cum out of your cock like a damn Capri-sun",0,others
Hey there!! Due to my college transiconnotch being suspended!! I have decided to come to twitter myself!! To continue to spread LGBTQ+ positivity through my game!! Trans rights!!!,0,sexual orientation
She is always ready to fuck her fuck several people at the same time. She shares her photos and videos as she fucks her completely free! You can also fuck her with friends or enjoy the photos and videos of this slutty whores! Want to meet her?😉👇 URL,1,others
Why police be scary ass niggas ?? Them niggas really be pressured like nigga how u get this job scary ass,0,race
#Porn #Pornstar Busty Asian @KendraSpade gets assfucked reverse cowgirl style @AdultBrazil @binho_ebony @DamasHermosas @ErivanEsc @MileVidsApp @QueenKarma69 @TheHardDepot @TessaLynnParker @Whitelover69 @xporn_vids @XXXSINNERS URL,1,gender
females that choke you during sex deserve to go to heaven,0,gender
@TitaniaMcGrath If the gals let the men eat their pussy the men would not be able to talk....just sayin....,0,gender
All you hoes do is drink and smoke on the daily lmao worthless,1,gender
deepika padukone's face...is something else. no words to describe this beauty URL,0,others
RT please! @UN just watch how Pakistan is sending terrorists into Kashmir.👇 Hope they should reach UN or heaven soon.,0,race
Canada a nation with great potential sold her soul to wickedness. She spent her billions dismembering human babies all over the world and dismembered 4 million of her own. God in his anger handed her over to a barbarous people who pride themselves on human dismemberment! 😭😭😭,0,others
"All children should be respected in schools. Every single child whether Black, Asian, White, Hispanic, Indian .... even mixed race must be respected. Each child has an inherent value that must never be violated. Please share to help uncover the racism in the classroom",0,race
"Girl, FUCK THEM KIDS! Fuck THESE kids! Fuck THAT kid! FUCK! KIDS! URL",0,gender
"""Just look at the lustful haze falling upon her eyes, her spirit broken and chrushed. The putrid scent of their pubess as their mashed into the poor skanks notrils. Her mouth salivating on the thick vein ridden shaft with every hate filled slam down the back of hee warm throat."" URL",1,others
If they were black they would've been shot dead but yeah a ha ha 🙄,0,race
"#SouthAfrica Unconfirmed reports of the murder of former bodyguard to Rwanda's president Kagame, Camir Nkurunziza, in Cape Town last night.",0,politics
This is racist and disgusting. Look it in the face and don't grade Jared on a curve. This is the president's son-in-law and pseudo-czar of Middle East Peace calling Palestinians sub-human. URL,0,race
YOU 4 are Terrorists and will be leaving very soon! YOU 4 are Traitors and Obviously HATE Americans & OUR country #JihadSquad go quack your Fake outrage somewhere else...go to a muslim country you love islam so much you murder lover URL,1,religion
Date with the sexiest transgenders in the world URL 👀 URL,0,gender
Tryna suck a tiddie 😞,1,gender
Women are corny URL,0,gender
"@CheryLipsssss @Abel_Nkosinathy This is the Feminism women should be preaching, this is exactly that STRENGTH women have that they are still too blind to see. Women can actually control the world... They don't need to compete with men to it. I love your ideas",0,gender
stupid ass hoe built like a piece of cabbage😒,1,gender
Why do you think Sophia bush left Chicago PD what a lot a actresses in Hollywood have to put up with so that they're not blacklisted so they can provide for themselves and their families no man has to deal with this honestly what the hell isnwormg with society that 1/2,0,gender
"E URL URL URL Reminding, cautioning, and warning to the Muslims and the disbelievers who are turning away from the caller to the Greatest Bliss that is greater than the world and the hereafter URL",0,religion
Fuck a bitch named Uterus.,1,gender
"@daphneyuhas @IlhanMN Somalia is in East Africa so wasn't involved in the US slave trade, but I get your point, it's more important to blame Africans than the white slave masters",0,race
"America is so ghetto, it's not even funny.",0,race
"white latinxs/hispanics prob piss me off more than american white bc they use this ""i'm not white"" defense like italians. white aint just US centric dumb ass",0,race
bitch was making a little ass boy eat ha pussy and she got herpes and shit. Hoe needed her ass whooped,0,gender
i hate these bitchs URL,1,gender
"Sunday morning! Just finished FaceTiming Jesus again. He wanted me to inform Christian extremists that they may as well stay home and spend the day inhaling meth out of a pool boy's anal cavity. After smelling the stank of his false flock, your Christ has concluded God is dead.",1,religion
it's pride month give ur money to black trans women,0,others
"""We oppose any restriction to human services and supports for eligible individuals and families, and support immigrant families seeking safety and quality of life."" Read @WoodsFundChi statement on the proposed @HUDgov rule: URL URL",0,immigration
"OY VEY! The ""Jewish Race"" is so smart, they worship Lucifer & Saturn, and get their rocks off on Institutionalized pedophilia. BTW in latest UK studies, Chinese UK youth are smartest, then Indian... URL",0,race
nigga is that a nickel on your forehead URL,0,gender
"This sleazy faggot's final hours in, on and at My arms. #Hierachy URL",1,sexual orientation
All India Mahila Congress has termed the Transgender Persons (Protection of Rights) Bill of the Union Social Justice Ministry 'regressive and devoid of compassion'. URL,0,gender
@SenTedCruz @elpasotimes Shut up idiot. They don't need prayers. They need law makers to fucking act before the NEXT shooting!,0,others
@Fishandcow101 Women are demons wbk.,0,gender
If it's not of #Christ it's that spirit of #antichrist. There is no middle ground.,0,religion
I wish all of my friends Allah may give lots of love and peace🙏🙏🙏 on this special occasion🙏🙏🙏 #EidMubarak URL,0,others
"@kenzierlemmons @DupeTask @JackPosobiec Since you have apparently never served in the military, let me explain to you that homosexual have NO place in combat units! At most, perhaps they can perform some support function in REAR echelons.",1,sexual orientation
Me And My Baby Mother Can Be Mad Beefing Whatever I'm Still Not Fucking Wit None Of You Bitches 😂 Always Going Make Sure She Good Regardless 💯,0,gender
FUCK PEOPLE WHO USE RELIGION TO JUSTIFY HATE,0,religion
"y'all give men too much power, embarrassing",0,gender
"What other people on earth could be expected to sit mute, smiling & dumb, as a hostile imported elite lectured them - endlessly over decades! - that they were simply destined to become a minority in their own country.  It's an epic atrocity, and we're called Nazis for noticing!",0,others
"@MelisssfMelissa @YouTube Yes, the Tide has Turned- ALL of the luciferian pedophiles who profit and lust after the harm of children and the sexualization of the innocent will face JUSTICE‼️🙌🏻 Those who have used religion to justify abuse will NOT escape punishment, be they Muslim or Catholic or Satanist.",0,religion
@Sthy01 @PublicProtector @ThuliMadonsela3 White ass lickers,0,race
"@AzzatAlsaleem It breaks my 💔what islam & isis has done to this world, especially the Yazidi people, if they sentenced to death every member of isis alive to day, it still wouldn't be justice. The governments, especially Obama's should also be held accountable for allowing this to happen.",0,religion
@Schrodingersge1 Woman need to remove themselves as organ donors. This is utterly appalling.,1,gender
Don't come to me as a woman bout NO nigga,0,gender
all my feminist remember how much you hate these alabama politicians when you gettin drunk wit brad on the beach this weekend at @Hangoutfest,0,gender
"fuck that nigga , fuck his friends & fuck his BITCH",1,race
racist till you face to face wit a black man 🤦🏿‍♂️ then wanna play victim lmao,0,race
i just wanted to remind myself and everyone that i love shawn mendes and tom holland and chris evans and daniel seavey and ruel and so many more white boys,0,race
"@Simplymarvlous @DavidAd13662163 @ABC Bitch, you don't need religion to be against abortion.",0,religion
So like did god just like put in my bio just cheat on this dumb Nigga smh,1,others
both girls and boys are so cute pLEASE like i can go out in public and see a cute ass girl and then 3 seconds later see a cute ass boy LIKE PLEASE LET ME BREATHE A SECOND,0,gender
all of you nigga's are a waste of time honestly,1,race
Bitches run out of friends & start hanging with the bitches that beat them up 😭😭😭 I can't with you hoes fr,0,gender
his accomplice went back to germany and probably died of natural causes not too long after....perhaps the only jew to voluntarily go back to nazi germany.,0,race
